id_pedido,cliente_id,nome_cliente,email,produto,categoria,quantidade,preco_unitario,desconto,data_pedido,estado,status,avaliacao
PED-0001,CLI-1488,Diego Souza,diego.souza65@gmail.com,iPhone 14,Eletronicos,5,1262.21,0.09,31-03-2023,Rio,Pendente,1
PED-0002,CLI-6635,Ana Silva,ana.silva94@gmail.com,Samsung TV 55,Mobile,6,1425.46,0.22,2024-01-25,GO,Entregue,
PED-0003,CLI-8428,Fabio Lima,fabio.lima21@gmail.com,Tablet Samsung,Informatica,2,276.83,0.24,2023-08-27,PR,Entregue,4
PED-0004,CLI-1525,ana silva,ana.silva35gmail.com,Samsung TV 55,Mobile,7,1386.24,0.09,2023-11-29,S P,pendente,6
PED-0005,CLI-3266,Bruno Costa,bruno.costa97gmail.com,Samsung TV 55,Acessorios,3,1270.81,0.32,13/02/2024,Sao Paulo,ENTREGUE,2
PED-0006,CLI-9797,Fabio Lima,fabio.lima15@gmail.com,Webcam Logitech,Mobile,10,4980.8,0.39,12-01-2023,SP,Cancelado,0
PED-0007,,Fabio Lima,fabio.lima40@gmail.com,iPhone 14,Acessorios,9,3064.4,0.03,2024-06-27,S P,Entregue,2
PED-0008,CLI-4295,ana silva,ana.silva86@gmail.com,Monitor LG 24,Informatica,3,3315.77,0.05,2024-03-09,rj,devolvido,
PED-0009,CLI-6413,Diego Souza,diego.souza36@gmail.com,Notebook Dell,TV e Video,9,1189.07,0.1,2023-08-23,MG,devolvido,N/A
PED-0010,CLI-2612,Fabio Lima,fabio.lima14@gmail.com,Fone JBL,Eletronicos,2,3311.96,0.17,25-02-2023,sp,ENTREGUE,4
PED-0011,CLI-8956,ana silva,,iPhone 14,Mobile,,534.65,0.37,2023-04-06,GO,Cancelado,5
PED-0012,CLI-1821,Carla  Mendes,carla..mendes68@gmail.com,Webcam Logitech,TV e Video,8,816.24,0.03,04-03-2023,RJ,ENTREGUE,4
PED-0013,CLI-4346,Fabio Lima,fabio.lima31@gmail.com,Webcam Logitech,Eletronicos,10,1268.77,0.18,19/06/2024,Sao Paulo,Cancelado,2
PED-0014,CLI-2127,Fabio Lima,fabio.lima37@gmail.com,Notebook Dell,Mobile,10,4992.35,0.24,2023-09-29,Rio,Cancelado,0
PED-0015,CLI-5462,Diego Souza,diego.souza92@gmail.com,Notebook Dell,TV e Video,5,4662.19,0.1,20-04-2023,PR,devolvido,1
PED-0016,CLI-8007,Bruno Costa,bruno.costa10@gmail.com,iPhone 14,Mobile,5,268.23,0.33,15-06-2023,MG,entregue,3
PED-0017,CLI-2684,Carla  Mendes,carla..mendes53@gmail.com,Webcam Logitech,Informatica,1,1575.88,0.39,2024-01-02,BA,ENTREGUE,N/A
PED-0018,CLI-2771,Ana Silva,ana.silva61@gmail.com,Notebook Dell,Informatica,6,3922.81,0.12,12/09/2023,sp,pendente,4
PED-0019,CLI-9785,Ana Silva,ana.silva15@gmail.com,Fone JBL,Eletronicos,4,2022.41,0.02,26-12-2023,S P,Cancelado,
PED-0020,CLI-9518,Carla  Mendes,carla..mendes88@gmail.com,Teclado Mecanico,Mobile,10,4921.97,0.15,15-02-2023,Sao Paulo,cancelado,
PED-0021,CLI-3085,ana silva,ana.silva87@gmail.com,Tablet Samsung,Acessorios,2,3612.78,0.16,17-02-2024,S P,Cancelado,5
PED-0022,CLI-3780,Elisa Ferreira,elisa.ferreira66@gmail.com,Mouse Logitech,Informatica,7,3939.51,0.27,07-08-2023,RJ,cancelado,4
PED-0023,CLI-7291,Diego Souza,,Samsung TV 55,Eletronicos,1,1261.97,0.09,29-02-2024,RJ,Pendente,0
PED-0024,CLI-8251,Carla  Mendes,carla..mendes55@gmail.com,SSD 1TB,Eletronicos,9,1283.53,0.18,27-06-2024,MG,devolvido,5
PED-0025,CLI-3471,Carla Mendes,carla.mendes91@gmail.com,Monitor LG 24,Mobile,4,1409.26,0.17,24-11-2023,RS,devolvido,N/A
PED-0026,CLI-7865,Carla  Mendes,carla..mendes78@gmail.com,Webcam Logitech,TV e Video,,4290.82,0.19,27/12/2023,PR,Pendente,N/A
PED-0027,CLI-3223,Carla Mendes,carla.mendes07@gmail.com,Samsung TV 55,Mobile,3,4904.57,0.14,2023-01-28,sp,pendente,5
PED-0028,CLI-1659,Diego Souza,diego.souza26@gmail.com,Webcam Logitech,Acessorios,2,2378.02,0.19,18-08-2023,BA,ENTREGUE,4
PED-0029,CLI-1420, Diego Souza,diego.souza87@gmail.com,SSD 1TB,Acessorios,6,880.56,0.03,17/06/2023,Rio,cancelado,4
PED-0030,CLI-2129,Fabio Lima,fabio.lima02@gmail.com,iPhone 14,Acessorios,,4037.36,0.38,29/06/2024,RJ,Pendente,6
PED-0031,CLI-5397,Diego Souza,diego.souza12@gmail.com,Samsung TV 55,Mobile,3,3682.29,0.13,10/05/2024,sp,Pendente,
PED-0032,CLI-4130,ana silva,ana.silva63@gmail.com,Samsung TV 55,Mobile,4,1806.38,1.94,N/A,sp,devolvido,N/A
PED-0033,CLI-5438,Diego Souza,diego.souza16@gmail.com,Fone JBL,Acessorios,10,1876.65,0.08,05/12/2023,Rio,ENTREGUE,5
PED-0034,CLI-9751,Ana Silva,ana.silva07@gmail.com,Tablet Samsung,TV e Video,10,1450.84,1.93,N/A,MG,devolvido,6
PED-0035,CLI-1878, Diego Souza,diego.souza39@gmail.com,SSD 1TB,Acessorios,3,4829.21,0.24,08/03/2023,rj,Pendente,4
PED-0036,CLI-2625,Diego Souza,diego.souza81@gmail.com,Monitor LG 24,Mobile,8,4547.1,0.07,03-03-2023,MG,cancelado,1
PED-0037,CLI-2166,Elisa Ferreira,elisa.ferreira81@gmail.com,Webcam Logitech,Mobile,10,,0.05,17-10-2023,BA,Pendente,3
PED-0038,CLI-5982,Elisa Ferreira,elisa.ferreira65@gmail.com,Mouse Logitech,Informatica,2,345.21,0.36,23/10/2023,S P,entregue,5
PED-0039,CLI-3870,BRUNO COSTA,bruno.costa36@gmail.com,Notebook Dell,Eletronicos,4,4811.46,0.39,N/A,Sao Paulo,devolvido,N/A
PED-0040,CLI-2442,Fabio Lima,fabio.lima15@gmail.com,Teclado Mecanico,Acessorios,2,4295.78,0.26,N/A,rj,entregue,N/A
PED-0041,CLI-5719,BRUNO COSTA,bruno.costa16gmail.com,Notebook Dell,Informatica,9,1840.81,2.11,28/07/2023,BA,ENTREGUE,4
PED-0042,CLI-8736,Carla  Mendes,carla..mendes19@gmail.com,iPhone 14,Mobile,2,3256.16,0.35,07/10/2023,rj,ENTREGUE,N/A
PED-0043,CLI-8935,Carla  Mendes,carla..mendes98@gmail.com,Teclado Mecanico,TV e Video,5,4111.72,0.39,2024-05-16,RS,cancelado,N/A
PED-0044,CLI-3068, Diego Souza,diego.souza43@gmail.com,Fone JBL,Mobile,1,1624.97,0.21,05/06/2023,sp,Entregue,3
PED-0045,CLI-9742,Fabio Lima,fabio.lima81@gmail.com,Webcam Logitech,Informatica,2,2373.98,0.25,24/03/2023,rj,entregue,5
PED-0046,,Ana Silva,ana.silva38@gmail.com,Fone JBL,Eletronicos,7,4892.77,0.23,20-06-2023,BA,Pendente,3
PED-0047,CLI-5161,Ana Silva,ana.silva60@gmail.com,Samsung TV 55,Eletronicos,10,4360.66,0.18,2023-05-27,MG,Entregue,5
PED-0048,CLI-5847,Elisa Ferreira,elisa.ferreira03@gmail.com,Webcam Logitech,Acessorios,8,4234.25,0.23,31/08/2023,PR,entregue,1
PED-0049,CLI-3240,Ana Silva,,Tablet Samsung,Mobile,5,3889.92,0.04,14-07-2023,RS,ENTREGUE,N/A
PED-0050,CLI-8894,Elisa Ferreira,elisa.ferreira96@gmail.com,Samsung TV 55,Informatica,3,3943.24,0.06,2023-10-07,sp,Entregue,N/A
PED-0051,CLI-5295,Fabio Lima,fabio.lima14@gmail.com,Monitor LG 24,Acessorios,2,,0.37,10/04/2024,S P,pendente,2
PED-0052,CLI-9807,BRUNO COSTA,bruno.costa48@gmail.com,SSD 1TB,Acessorios,,,0.23,2024-05-19,rj,Pendente,N/A
PED-0053,CLI-6942,Fabio Lima,fabio.lima70@gmail.com,iPhone 14,Mobile,10,-2070.17,0.11,30/03/2024,SP,Pendente,6
PED-0054,CLI-4394,Diego Souza,diego.souza43@gmail.com,iPhone 14,Informatica,10,,0.11,09-05-2023,S P,entregue,3
PED-0055,CLI-3854,Carla Mendes,carla.mendes95@gmail.com,Monitor LG 24,Acessorios,3,594.14,0.18,01-09-2023,RJ,devolvido,2
PED-0056,CLI-1510,BRUNO COSTA,bruno.costa52@gmail.com,SSD 1TB,TV e Video,4,,0.03,17/06/2024,Rio,devolvido,3
PED-0057,CLI-8048,Bruno Costa,bruno.costa84@gmail.com,iPhone 14,Informatica,5,3140.37,0.17,27/06/2024,Rio,cancelado,N/A
PED-0058,CLI-8770,Bruno Costa,bruno.costa12@gmail.com,Teclado Mecanico,Mobile,7,2109.15,0.22,2024-01-19,RS,ENTREGUE,0
PED-0059,CLI-6761,Carla  Mendes,carla..mendes28@gmail.com,Monitor LG 24,Acessorios,2,2083.5,0.34,22/02/2023,RJ,pendente,5
PED-0060,,Elisa Ferreira,elisa.ferreira90@gmail.com,Tablet Samsung,Informatica,7,4233.52,0.07,27-01-2023,RS,entregue,N/A
PED-0061,CLI-6314, Diego Souza,diego.souza77@gmail.com,iPhone 14,Informatica,1,504.2,0.27,11/06/2023,MG,entregue,N/A
PED-0062,CLI-8972,Elisa Ferreira,elisa.ferreira06@gmail.com,SSD 1TB,TV e Video,8,2100.21,0.08,24/04/2023,SP,entregue,3
PED-0063,CLI-6802,Ana Silva,ana.silva56gmail.com,Mouse Logitech,Acessorios,6,643.92,0.23,29-06-2024,RS,Pendente,N/A
PED-0064,CLI-2734, Diego Souza,diego.souza52@gmail.com,Mouse Logitech,Eletronicos,7,153.24,0.09,2024-01-06,PR,pendente,2
PED-0065,CLI-5193, Diego Souza,diego.souza20@gmail.com,Monitor LG 24,Eletronicos,9,2574.26,0.19,2023-06-01,MG,devolvido,6
PED-0066,CLI-5500,Fabio Lima,fabio.lima65gmail.com,Tablet Samsung,TV e Video,6,4328.02,0.15,28-03-2024,SP,entregue,2
PED-0067,CLI-4084,BRUNO COSTA,bruno.costa65@gmail.com,Tablet Samsung,TV e Video,9,1953.19,0.39,12/02/2023,RJ,pendente,3
PED-0068,CLI-6543,Ana Silva,ana.silva81@gmail.com,Notebook Dell,Informatica,8,4955.38,0.11,17/10/2023,RJ,Pendente,3
PED-0069,CLI-2388,ana silva,ana.silva83@gmail.com,Teclado Mecanico,Eletronicos,10,3334.88,0.26,2024-02-06,Sao Paulo,Entregue,
PED-0070,CLI-5846,Bruno Costa,bruno.costa65@gmail.com,Notebook Dell,Acessorios,5,942.3,0.26,2023-08-20,rj,entregue,3
PED-0071,CLI-7731,Diego Souza,diego.souza57@gmail.com,Tablet Samsung,Mobile,3,853.12,0.21,19-06-2023,sp,cancelado,6
PED-0072,CLI-4271,Carla Mendes,carla.mendes33gmail.com,Fone JBL,Acessorios,10,4922.98,0.28,24/06/2024,RS,Entregue,2
PED-0073,CLI-1436,ana silva,ana.silva65@gmail.com,Mouse Logitech,Eletronicos,3,1400.32,0.09,16/08/2023,RJ,pendente,2
PED-0074,,Diego Souza,diego.souza20@gmail.com,Teclado Mecanico,Informatica,3,239.6,0.04,25/04/2024,rj,Pendente,5
PED-0075,CLI-9443,Carla Mendes,carla.mendes38@gmail.com,iPhone 14,Eletronicos,4,2128.14,0.07,26-05-2024,BA,Pendente,0
PED-0076,CLI-7116,Ana Silva,ana.silva46@gmail.com,Teclado Mecanico,Eletronicos,,2743.21,0.31,2024-04-26,Rio,Entregue,
PED-0077,CLI-3986,Bruno Costa,bruno.costa92@gmail.com,Samsung TV 55,Eletronicos,6,2752.77,0.02,20-04-2024,PR,cancelado,1
PED-0078,CLI-1783,Fabio Lima,fabio.lima35@gmail.com,Teclado Mecanico,Acessorios,,2021.21,0.36,15/07/2023,GO,devolvido,3
PED-0079,CLI-3956,Fabio Lima,fabio.lima14@gmail.com,SSD 1TB,Mobile,6,4625.34,0.24,22/03/2023,PR,devolvido,6
PED-0080,CLI-7655,Carla Mendes,carla.mendes04@gmail.com,Teclado Mecanico,Mobile,1,3647.73,0.05,2023-02-28,sp,entregue,
PED-0081,CLI-9674,Fabio Lima,fabio.lima84@gmail.com,Teclado Mecanico,Mobile,10,210.31,0.2,2024-03-30,SP,ENTREGUE,0
PED-0082,CLI-2213,BRUNO COSTA,bruno.costa12@gmail.com,iPhone 14,Acessorios,5,3534.99,0.28,2024-05-17,RS,pendente,5
PED-0083,CLI-1430, Diego Souza,diego.souza48@gmail.com,Mouse Logitech,Informatica,3,3978.8,0.03,2023-05-23,MG,Entregue,6
PED-0084,CLI-6644,Carla  Mendes,carla..mendes82@gmail.com,Monitor LG 24,Mobile,7,4125.53,0.2,05/04/2024,MG,Pendente,2
PED-0085,CLI-5105,Carla  Mendes,carla..mendes36@gmail.com,Monitor LG 24,Informatica,5,865.05,0.2,15/06/2024,rj,Entregue,3
PED-0086,CLI-5336, Diego Souza,,Samsung TV 55,TV e Video,10,1721.22,0.26,2023-03-25,Sao Paulo,Cancelado,4
PED-0087,CLI-3353,Fabio Lima,fabio.lima94@gmail.com,Webcam Logitech,Acessorios,8,,0.3,10/05/2024,GO,ENTREGUE,2
PED-0088,CLI-3616, Diego Souza,diego.souza93@gmail.com,Teclado Mecanico,Informatica,,656.48,0.2,29-01-2024,sp,devolvido,1
PED-0089,CLI-8710,Ana Silva,ana.silva14@gmail.com,iPhone 14,Mobile,,2313.29,0.31,16/10/2023,Rio,pendente,N/A
PED-0090,CLI-2946,Bruno Costa,bruno.costa51@gmail.com,Notebook Dell,TV e Video,9,1013.54,0.3,14-10-2023,rj,pendente,0
PED-0091,CLI-9446, Diego Souza,diego.souza41@gmail.com,Webcam Logitech,TV e Video,1,274.25,0.24,2024-04-12,Rio,Cancelado,0
PED-0092,CLI-1436,Elisa Ferreira,elisa.ferreira84@gmail.com,Monitor LG 24,Mobile,10,1533.96,0.29,02-03-2024,S P,cancelado,3
PED-0093,CLI-6139,ana silva,ana.silva89@gmail.com,Monitor LG 24,TV e Video,7,-781.49,0.35,N/A,S P,devolvido,1
PED-0094,CLI-6608,Elisa Ferreira,elisa.ferreira79@gmail.com,Samsung TV 55,TV e Video,4,2826.39,0.09,27/06/2023,PR,Cancelado,5
PED-0095,CLI-9899,ana silva,ana.silva45@gmail.com,Mouse Logitech,Informatica,8,1619.35,0.12,08/10/2023,PR,entregue,
PED-0096,CLI-4920,Carla  Mendes,carla..mendes29@gmail.com,SSD 1TB,Acessorios,8,1109.23,0.29,2023-10-06,GO,pendente,3
PED-0097,CLI-1969,Bruno Costa,bruno.costa84@gmail.com,Notebook Dell,TV e Video,3,2064.19,0.37,24/07/2023,Rio,entregue,3
PED-0098,CLI-2758,Fabio Lima,fabio.lima37@gmail.com,Notebook Dell,Mobile,8,972.24,0.36,2023-02-08,rj,devolvido,0
PED-0099,CLI-5833,Diego Souza,diego.souza23@gmail.com,SSD 1TB,Acessorios,4,4053.63,0.21,2023-07-10,GO,Pendente,2
PED-0100,CLI-1187,Fabio Lima,fabio.lima89@gmail.com,Samsung TV 55,Informatica,8,1651.83,0.06,01/10/2023,sp,Cancelado,5
PED-0101,CLI-8714,Diego Souza,diego.souza98@gmail.com,iPhone 14,Acessorios,6,3092.4,0.21,18/01/2024,RJ,devolvido,2
PED-0102,CLI-9008,Carla  Mendes,carla..mendes58@gmail.com,Notebook Dell,TV e Video,9,1050.68,0.18,2024-03-28,rj,Pendente,6
PED-0103,CLI-2044,Ana Silva,ana.silva09@gmail.com,Mouse Logitech,Eletronicos,7,,0.07,2023-03-16,PR,Pendente,N/A
PED-0104,CLI-2943,Carla  Mendes,carla..mendes51@gmail.com,Teclado Mecanico,Mobile,8,4354.62,0.3,17-05-2023,BA,entregue,6
PED-0105,CLI-1527,ana silva,ana.silva79@gmail.com,Monitor LG 24,Mobile,9,1927.42,0.08,13-07-2023,SP,cancelado,1
PED-0106,CLI-5739, Diego Souza,diego.souza41@gmail.com,SSD 1TB,TV e Video,1,,0.12,2023-08-11,RS,cancelado,0
PED-0107,,Fabio Lima,fabio.lima83@gmail.com,Fone JBL,Mobile,5,1412.01,0.16,29-06-2023,RS,Pendente,3
PED-0108,CLI-7824,Carla Mendes,carla.mendes50@gmail.com,Monitor LG 24,Mobile,4,4254.24,0.37,01-03-2023,Sao Paulo,Entregue,2
PED-0109,CLI-4555,Fabio Lima,,Monitor LG 24,Informatica,1,1378.88,0.3,12-07-2023,BA,Entregue,4
PED-0110,CLI-5285,BRUNO COSTA,bruno.costa60@gmail.com,Tablet Samsung,Informatica,7,4579.88,0.37,30-06-2024,sp,pendente,N/A
