id_pedido,cliente_id,nome_cliente,email,produto,categoria,quantidade,preco_unitario,desconto,data_pedido,estado,status,avaliacao
PED-0001,CLI-1488,Diego Souza,diego.souza65@gmail.com,iPhone 14,Eletronicos,5,1262.21,0.09,2023-03-31,RJ,PENDENTE,1.0
PED-0002,CLI-6635,Ana Silva,ana.silva94@gmail.com,Samsung TV 55,Mobile,6,1425.46,0.22,2024-01-25,GO,ENTREGUE,0.0
PED-0003,CLI-8428,Fabio Lima,fabio.lima21@gmail.com,Tablet Samsung,Informatica,2,276.83,0.24,2023-08-27,PR,ENTREGUE,4.0
PED-0004,CLI-1525,Ana Silva,ana.silva35gmail.com,Samsung TV 55,Mobile,7,1386.24,0.09,2023-11-29,SP,PENDENTE,6.0
PED-0005,CLI-3266,Bruno Costa,bruno.costa97gmail.com,Samsung TV 55,Acessorios,3,1270.81,0.32,2024-02-13,SP,ENTREGUE,2.0
PED-0006,CLI-9797,Fabio Lima,fabio.lima15@gmail.com,Webcam Logitech,Mobile,10,4980.8,0.39,2023-12-01,SP,CANCELADO,0.0
PED-0007,CLI-N/I,Fabio Lima,fabio.lima40@gmail.com,iPhone 14,Acessorios,9,3064.4,0.03,2024-06-27,SP,ENTREGUE,2.0
PED-0008,CLI-4295,Ana Silva,ana.silva86@gmail.com,Monitor LG 24,Informatica,3,3315.77,0.05,2024-03-09,RJ,DEVOLVIDO,0.0
PED-0009,CLI-6413,Diego Souza,diego.souza36@gmail.com,Notebook Dell,TV e Video,9,1189.07,0.1,2023-08-23,MG,DEVOLVIDO,0.0
PED-0010,CLI-2612,Fabio Lima,fabio.lima14@gmail.com,Fone JBL,Eletronicos,2,3311.96,0.17,2023-02-25,SP,ENTREGUE,4.0
PED-0012,CLI-1821,Carla  Mendes,carla..mendes68@gmail.com,Webcam Logitech,TV e Video,8,816.24,0.03,2023-04-03,RJ,ENTREGUE,4.0
PED-0013,CLI-4346,Fabio Lima,fabio.lima31@gmail.com,Webcam Logitech,Eletronicos,10,1268.77,0.18,2024-06-19,SP,CANCELADO,2.0
PED-0014,CLI-2127,Fabio Lima,fabio.lima37@gmail.com,Notebook Dell,Mobile,10,4992.35,0.24,2023-09-29,RJ,CANCELADO,0.0
PED-0015,CLI-5462,Diego Souza,diego.souza92@gmail.com,Notebook Dell,TV e Video,5,4662.19,0.1,2023-04-20,PR,DEVOLVIDO,1.0
PED-0016,CLI-8007,Bruno Costa,bruno.costa10@gmail.com,iPhone 14,Mobile,5,268.23,0.33,2023-06-15,MG,ENTREGUE,3.0
PED-0017,CLI-2684,Carla  Mendes,carla..mendes53@gmail.com,Webcam Logitech,Informatica,1,1575.88,0.39,2024-01-02,BA,ENTREGUE,0.0
PED-0018,CLI-2771,Ana Silva,ana.silva61@gmail.com,Notebook Dell,Informatica,6,3922.81,0.12,2023-12-09,SP,PENDENTE,4.0
PED-0019,CLI-9785,Ana Silva,ana.silva15@gmail.com,Fone JBL,Eletronicos,4,2022.41,0.02,2023-12-26,SP,CANCELADO,0.0
PED-0020,CLI-9518,Carla  Mendes,carla..mendes88@gmail.com,Teclado Mecanico,Mobile,10,4921.97,0.15,2023-02-15,SP,CANCELADO,0.0
PED-0021,CLI-3085,Ana Silva,ana.silva87@gmail.com,Tablet Samsung,Acessorios,2,3612.78,0.16,2024-02-17,SP,CANCELADO,5.0
PED-0022,CLI-3780,Elisa Ferreira,elisa.ferreira66@gmail.com,Mouse Logitech,Informatica,7,3939.51,0.27,2023-07-08,RJ,CANCELADO,4.0
PED-0023,CLI-7291,Diego Souza,,Samsung TV 55,Eletronicos,1,1261.97,0.09,2024-02-29,RJ,PENDENTE,0.0
